2026-03-30 21:48:48,936 - INFO - Loaded 4599 gGSP records from d:\Studia\Projekty\gsp-lab\results\plots\gGSP_5.0.csv
2026-03-30 21:48:49,202 - INFO - Loaded 4599 lDDT records from d:\Studia\Projekty\gsp-lab\results\lddt\finished\global_report.csv
2026-03-30 21:48:51,589 - INFO - Processing target: CR1107
2026-03-30 21:48:51,716 - INFO - 
--- Detailed data for target: CR1107 ---
2026-03-30 21:48:51,741 - INFO - 
   Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
2026-03-30 21:48:53,301 - INFO - Metric INF_wc: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric INF_nwc: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric INF_stacking: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric Clash_Score: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric P-value: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric mcq: available for 145/145 models
2026-03-30 21:48:53,302 - INFO - Metric TM-score: available for 145/145 models
2026-03-30 21:48:53,308 - INFO - Clash_Score: Pearson=0.014, Spearman=-0.143, Kendall=-0.072 (n=145)
2026-03-30 21:48:53,310 - INFO - DI_all: Pearson=0.769, Spearman=0.860, Kendall=0.696 (n=145)
2026-03-30 21:48:53,311 - INFO - INF_all: Pearson=0.820, Spearman=0.815, Kendall=0.616 (n=145)
2026-03-30 21:48:53,314 - INFO - INF_nwc: Pearson=0.034, Spearman=0.011, Kendall=0.009 (n=145)
2026-03-30 21:48:53,316 - INFO - INF_stacking: Pearson=0.682, Spearman=0.712, Kendall=0.524 (n=145)
2026-03-30 21:48:53,317 - INFO - INF_wc: Pearson=0.813, Spearman=0.801, Kendall=0.601 (n=145)
2026-03-30 21:48:53,321 - INFO - mcq: Pearson=0.465, Spearman=0.432, Kendall=0.299 (n=145)
2026-03-30 21:48:53,322 - INFO - P-value: Pearson=0.595, Spearman=0.660, Kendall=0.505 (n=145)
2026-03-30 21:48:53,337 - INFO - RMSD: Pearson=0.645, Spearman=0.718, Kendall=0.542 (n=145)
2026-03-30 21:48:53,339 - INFO - TM-score: Pearson=0.776, Spearman=0.630, Kendall=0.467 (n=145)
2026-03-30 21:48:53,341 - INFO - lDDT: Pearson=0.944, Spearman=0.927, Kendall=0.778 (n=145)
2026-03-30 21:48:53,343 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\CR1156_gGSP_correlations.csv
2026-03-30 21:48:53,343 - INFO - Processing target: CR1189
2026-03-30 21:48:53,449 - INFO - 
--- Detailed data for target: CR1189 ---
2026-03-30 21:48:53,469 - INFO - 
  Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
ts029_1  9.469 0.327 30.666  82.009    0.374   0.169      0.0         0.443        39.70 1.470000e-01 44.99     0.169
ts029_2  5.945 0.298 22.806  72.400    0.315   0.000      0.0         0.409         0.00 3.060000e-08 40.84     0.205
ts029_3  7.135 0.303 29.996  87.283    0.344   0.058      0.0         0.420         0.00 7.770000e-02 37.67     0.168
ts035_1 26.984 0.477 28.001  47.928    0.584   0.582      0.0         0.600         6.53 5.710000e-03 33.54     0.218
ts035_2 26.984 0.477 28.001  47.928    0.584   0.582      0.0         0.600         7.57 5.710000e-03 33.54     0.218
ts035_3 26.706 0.482 24.872  39.953    0.623   0.690      0.0         0.597        10.19 9.880000e-06 32.74     0.261
ts035_4 20.896 0.430 22.171  40.121    0.553   0.561      0.0         0.561         9.92 4.000000e-09 33.80     0.220
ts035_5 20.896 0.430 22.171  40.121    0.553   0.561      0.0         0.561         9.92 4.000000e-09 33.80     0.220
ts054_1 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts054_2 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts054_3 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts054_4 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts054_5 26.887 0.470 28.909  46.127    0.627   0.760      0.0         0.581         6.27 2.150000e-02 32.38     0.196
ts076_1 23.311 0.451 27.157  47.236    0.575   0.518      0.0         0.601         3.13 1.360000e-03 34.09     0.235
ts076_2 23.041 0.439 27.473  48.398    0.568   0.531      0.0         0.583         3.13 2.380000e-03 30.40     0.236
ts076_3 23.099 0.437 29.675  55.912    0.531   0.511      0.0         0.538         2.87 5.490000e-02 35.01     0.238
ts076_4 20.902 0.429 27.215  47.254    0.576   0.531      0.0         0.592         7.32 1.510000e-03 35.25     0.246
ts076_5 26.239 0.464 26.484  42.452    0.624   0.727      0.0         0.588         2.35 3.730000e-04 33.27     0.257
ts081_1 32.334 0.507 20.317  31.963    0.636   0.810      0.0         0.561         8.88 5.310000e-12 37.69     0.275
ts081_2 33.698 0.499 18.704  29.690    0.630   0.810      0.0         0.555         7.57 7.110000e-15 35.76     0.262
ts081_3 32.494 0.503 20.394  31.549    0.646   0.810      0.0         0.579         7.05 7.130000e-12 36.02     0.231
ts081_4 32.055 0.500 20.856  33.181    0.629   0.810      0.0         0.552         6.79 4.050000e-11 35.58     0.197
ts081_5 33.408 0.501 23.443  36.457    0.643   0.810      0.0         0.574         6.53 2.080000e-07 36.35     0.258
ts097_1 25.401 0.376 32.530  59.765    0.544   0.786      0.0         0.447         0.26 4.950000e-01 43.45     0.177
ts097_2 21.611 0.359 27.289  79.504    0.343   0.501      0.0         0.274         0.52 1.720000e-03 44.56     0.186
ts119_1 29.105 0.491 22.410  34.640    0.647   0.620      0.0         0.657         2.61 8.730000e-09 34.51     0.237
ts119_2 30.117 0.504 19.360  29.605    0.654   0.720      0.0         0.632         0.78 1.150000e-13 33.47     0.252
ts119_3 31.773 0.509 19.703  30.326    0.650   0.709     -1.0         0.632         2.35 4.690000e-13 33.97     0.236
ts119_4 30.142 0.507 21.067  31.153    0.676   0.751      0.0         0.649         1.31 8.760000e-11 33.69     0.231
ts119_5 29.921 0.480 21.306  34.196    0.623   0.666      0.0         0.614         0.78 2.070000e-10 34.42     0.248
ts125_1 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts125_2 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts125_3 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts125_4 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts125_5 22.545 0.462 29.182  47.263    0.617   0.682      0.0         0.594         4.96 3.050000e-02 33.02     0.196
ts131_1 30.560 0.481 24.905  37.839    0.658   0.688      0.0         0.650         1.83 1.070000e-05 35.17     0.251
ts131_2 32.578 0.490 26.440  42.682    0.619   0.620     -1.0         0.622         4.44 3.410000e-04 30.57     0.281
ts131_3 32.283 0.487 25.931  39.657    0.654   0.642      0.0         0.662         2.09 1.170000e-04 35.37     0.261
ts131_4 33.138 0.497 27.497  43.481    0.632   0.630      0.0         0.640         4.44 2.480000e-03 31.06     0.256
ts131_5 32.120 0.497 22.414  34.735    0.645   0.693     -1.0         0.640         2.61 8.860000e-09 33.71     0.257
ts147_1 21.482 0.366 30.427  78.028    0.390   0.463      0.0         0.370         0.26 1.190000e-01 40.75     0.241
ts147_2 28.375 0.437 23.753  38.262    0.621   0.694      0.0         0.592         1.31 5.070000e-07 41.40     0.273
ts147_3 24.675 0.421 19.319  35.392    0.546   0.648      0.0         0.507         1.04 9.730000e-14 39.91     0.224
ts147_4 24.035 0.409 18.925  38.830    0.487   0.546      0.0         0.465         0.52 1.850000e-14 38.98     0.207
ts147_5 27.984 0.423 26.128  45.271    0.577   0.689      0.0         0.537         1.31 1.790000e-04 44.83     0.220
ts177_1 16.093 0.408 24.944  47.885    0.521   0.553      0.0         0.516       265.22 1.180000e-05 35.91     0.232
ts177_2 13.301 0.389 28.460  68.859    0.413   0.372      0.0         0.440       290.45 1.150000e-02 38.41     0.140
ts177_3 16.781 0.401 24.819  49.139    0.505   0.608      0.0         0.476       277.47 8.650000e-06 40.48     0.229
ts185_1 21.061 0.439 30.343  51.042    0.594   0.751      0.0         0.545         0.00 1.100000e-01 33.63     0.199
ts185_2 18.184 0.416 29.302  54.059    0.542   0.701      0.0         0.487         0.26 3.540000e-02 35.74     0.168
ts185_3 18.821 0.438 29.597  51.785    0.572   0.732     -1.0         0.517         0.00 5.020000e-02 35.68     0.174
ts185_4 16.870 0.419 29.230  50.516    0.579   0.741      0.0         0.534         0.00 3.240000e-02 34.49     0.180
ts185_5 21.208 0.440 26.233  43.745    0.600   0.762      0.0         0.545         0.00 2.230000e-04 34.41     0.170
ts227_1 27.446 0.445 26.114  43.471    0.601   0.627      0.0         0.591         0.26 1.740000e-04 37.11     0.226
ts227_2 24.640 0.396 23.293  42.039    0.554   0.619      0.0         0.529         0.00 1.340000e-07 43.35     0.269
ts227_3 23.442 0.413 27.273  51.309    0.532   0.617      0.0         0.499         0.26 1.680000e-03 38.32     0.195
ts227_4 26.876 0.426 26.936  45.043    0.598   0.701      0.0         0.561         0.26 9.020000e-04 40.28     0.250
ts227_5 23.131 0.414 28.337  61.945    0.457   0.567      0.0         0.417         0.78 9.580000e-03 40.84     0.246
ts229_1 27.580 0.484 22.394  38.252    0.585   0.701      0.0         0.548         3.92 8.300000e-09 36.56     0.212
ts229_2 26.482 0.486 16.604  25.980    0.639   0.729      0.0         0.613         3.40 0.000000e+00 35.71     0.213
ts229_3 28.239 0.496 16.295  25.703    0.634   0.770      0.0         0.591         1.31 0.000000e+00 36.23     0.211
ts229_4 32.534 0.510 26.535  43.607    0.609   0.770      0.0         0.561        13.58 4.130000e-04 37.02     0.230
ts229_5 28.438 0.494 28.416  45.733    0.621   0.701      0.0         0.608         5.48 1.080000e-02 34.25     0.206
ts232_1 27.886 0.467 21.998  35.372    0.622   0.567      0.0         0.643        13.32 2.260000e-09 32.80     0.226
ts232_2 28.838 0.474 21.983  34.541    0.636   0.567      0.0         0.664        14.63 2.150000e-09 32.42     0.237
ts232_3 27.113 0.454 22.263  38.734    0.575   0.577      0.0         0.574        14.89 5.420000e-09 33.69     0.233
ts232_4 28.737 0.470 25.781  41.529    0.621   0.567      0.0         0.641        10.19 8.420000e-05 32.86     0.277
ts232_5 28.856 0.463 22.992  37.709    0.610   0.567      0.0         0.626        10.71 5.430000e-08 32.12     0.209
ts235_1 24.184 0.421 26.873  48.817    0.550   0.449      0.0         0.592       135.84 8.000000e-04 34.67     0.247
ts235_2 22.379 0.397 22.842  48.595    0.470   0.370      0.0         0.512       154.65 3.420000e-08 36.16     0.249
ts235_3 31.087 0.488 23.995  39.246    0.611   0.764      0.0         0.557       137.08 9.950000e-07 34.56     0.211
ts235_4 23.193 0.416 26.034  49.601    0.525   0.483      0.0         0.541       153.71 1.460000e-04 35.54     0.237
ts235_5 24.957 0.437 25.850  46.135    0.560   0.682      0.0         0.526       162.30 9.800000e-05 37.14     0.191
ts238_1 28.070 0.466 23.024  40.126    0.574   0.709      0.0         0.561       321.19 5.980000e-08 39.65     0.227
ts238_2 23.814 0.373 24.187  51.540    0.469   0.329      0.0         0.514       419.19 1.680000e-06 40.16     0.250
ts239_1 27.580 0.484 22.394  38.252    0.585   0.701      0.0         0.548         4.18 8.300000e-09 36.56     0.212
ts239_2 26.482 0.486 16.604  25.980    0.639   0.729      0.0         0.613         3.13 0.000000e+00 35.71     0.213
ts239_3 28.239 0.496 16.295  25.703    0.634   0.770      0.0         0.591         1.57 0.000000e+00 36.22     0.211
ts239_4 32.534 0.510 26.535  43.607    0.609   0.770      0.0         0.561        13.58 4.130000e-04 37.02     0.230
ts239_5 28.438 0.494 28.416  45.733    0.621   0.701      0.0         0.608         5.75 1.080000e-02 34.25     0.206
ts245_1 10.709 0.402 27.756  58.662    0.473   0.592      0.0         0.458         7.31 3.850000e-03 31.46     0.150
ts245_2 14.035 0.404 26.338  53.957    0.488   0.567      0.0         0.476         6.26 2.770000e-04 31.37     0.190
ts245_3 11.712 0.413 27.451  52.005    0.528   0.605      0.0         0.517        10.96 2.290000e-03 31.11     0.175
ts245_4 12.006 0.395 28.158  55.946    0.503   0.552      0.0         0.504         8.88 7.310000e-03 35.24     0.137
ts245_5 12.367 0.406 26.690  58.058    0.460   0.364      0.0         0.495        12.79 5.620000e-04 35.45     0.192
ts248_1  7.493 0.010 30.290 284.443    0.106   0.000      0.0         0.188         2.03 1.040000e-01 34.59     0.035
ts248_2  7.441 0.010 30.340 290.280    0.105   0.000      0.0         0.190         0.58 1.090000e-01 37.79     0.039
ts248_3  7.489 0.010 29.924 293.220    0.102   0.000      0.0         0.178         1.16 7.200000e-02 34.32     0.037
ts248_4  7.558 0.011 29.152 269.830    0.108   0.000      0.0         0.190         1.74 2.940000e-02 35.78     0.037
ts248_5  7.510 0.011 29.258 278.489    0.105   0.000      0.0         0.187         0.87 3.360000e-02 37.80     0.036
ts257_1 23.575 0.441 26.430  43.930    0.602   0.701      0.0         0.567         3.17 3.340000e-04 37.94     0.240
ts257_2 28.992 0.453 25.854  43.351    0.596   0.698      0.0         0.559         3.15 9.880000e-05 38.44     0.249
ts257_3 26.828 0.445 26.788  43.871    0.611   0.667      0.0         0.601         2.37 6.790000e-04 38.18     0.231
ts257_4 29.289 0.455 26.176  41.879    0.625   0.651      0.0         0.621         2.11 1.980000e-04 37.18     0.223
ts257_5 26.319 0.442 26.083  40.799    0.639   0.757      0.0         0.596         2.37 1.620000e-04 37.25     0.227
ts287_1 29.298 0.496 21.200  32.893    0.645   0.784      0.0         0.589         0.26 1.420000e-10 37.09     0.217
ts287_2 31.351 0.493 24.041  35.854    0.671   0.784      0.0         0.626         0.26 1.130000e-06 38.42     0.231
ts287_3 29.652 0.495 21.670  31.779    0.682   0.810     -1.0         0.630         0.78 7.410000e-10 37.64     0.260
ts287_4 32.892 0.494 25.236  39.244    0.643   0.784      0.0         0.586         0.00 2.400000e-05 37.20     0.248
ts287_5 32.761 0.497 27.591  41.773    0.661   0.810      0.0         0.601         0.26 2.920000e-03 37.63     0.260
ts385_1 10.709 0.402 27.756  58.662    0.473   0.592      0.0         0.458         7.31 3.850000e-03 31.46     0.150
ts392_1 28.601 0.467 20.551  34.540    0.595   0.728      0.0         0.550         1.86 1.300000e-11 38.49     0.253
ts392_2 23.646 0.454 23.520  37.791    0.622   0.728      0.0         0.581         0.79 2.600000e-07 38.02     0.202
ts392_3 28.260 0.470 21.795  34.675    0.629   0.728      0.0         0.596         0.53 1.140000e-09 38.08     0.208
ts392_4 28.948 0.458 21.289  34.521    0.617   0.756      0.0         0.562         1.33 1.950000e-10 37.26     0.254
ts392_5 27.255 0.463 22.415  37.061    0.605   0.742      0.0         0.558         0.27 8.890000e-09 38.52     0.233
ts434_1 19.996 0.356 33.416  76.655    0.436   0.524      0.0         0.405         0.00 6.840000e-01 47.91     0.178
ts434_2 23.969 0.363 28.268  65.006    0.435   0.465      0.0         0.424         0.26 8.640000e-03 44.71     0.246
ts434_3 22.687 0.391 29.230  52.982    0.552   0.624      0.0         0.529         0.52 3.240000e-02 43.73     0.178
ts434_4 25.549 0.424 25.630  44.844    0.572   0.674      0.0         0.532         0.26 5.990000e-05 39.35     0.238
ts434_5 26.266 0.435 30.777  58.670    0.525   0.608      0.0         0.502         0.52 1.620000e-01 39.41     0.184
ts439_1 16.613 0.400 21.318  61.380    0.347   0.386      0.0         0.348       106.12 2.160000e-10 45.48     0.233
ts439_2 18.872 0.412 24.861  67.933    0.366   0.408      0.0         0.355        91.15 9.610000e-06 45.38     0.251
ts439_3 28.239 0.496 16.295  25.703    0.634   0.770      0.0         0.591         1.31 0.000000e+00 36.23     0.211
ts439_4 32.534 0.510 26.535  43.607    0.609   0.770      0.0         0.561        13.58 4.130000e-04 37.02     0.230
ts439_5 28.438 0.494 28.416  45.733    0.621   0.701      0.0         0.608         5.48 1.080000e-02 34.25     0.206
ts444_1 30.505 0.479 24.891  35.176    0.708   0.813      0.0         0.672         0.00 1.040000e-05 37.41     0.253
ts444_2 32.373 0.500 22.452  32.088    0.700   0.813      0.0         0.657         0.00 1.000000e-08 35.13     0.260
ts444_3 32.103 0.494 26.390  39.292    0.672   0.786      0.0         0.629         0.00 3.080000e-04 35.67     0.288
ts444_4 32.324 0.489 27.586  41.072    0.672   0.813      0.0         0.617         0.00 2.890000e-03 36.16     0.270
ts444_5 30.312 0.479 24.909  36.664    0.679   0.798      0.0         0.638         0.00 1.080000e-05 37.54     0.251
ts470_1 32.667 0.451 26.430  52.853    0.500   0.488      0.0         0.512       189.51 3.350000e-04 27.54     0.192
ts470_2 31.227 0.458 30.287  53.569    0.565   0.463      0.0         0.605       137.61 1.040000e-01 35.45     0.232
ts470_3 31.198 0.468 26.598  46.124    0.577   0.655      0.0         0.552       188.32 4.680000e-04 37.83     0.236
ts470_4 31.750 0.468 24.298  42.543    0.571   0.592      0.0         0.573       222.19 2.260000e-06 28.92     0.208
ts470_5 31.678 0.457 23.354  41.904    0.557   0.556      0.0         0.561       210.03 1.600000e-07 36.99     0.214
ts489_1 32.667 0.451 26.430  52.853    0.500   0.488      0.0         0.512       189.51 3.350000e-04 27.54     0.192
ts489_2 31.227 0.458 30.287  53.569    0.565   0.463      0.0         0.605       137.61 1.040000e-01 35.45     0.232
ts489_3 31.198 0.468 26.598  46.124    0.577   0.655      0.0         0.552       188.32 4.680000e-04 37.83     0.236
ts489_4 31.750 0.468 24.298  42.543    0.571   0.592      0.0         0.573       222.19 2.260000e-06 28.92     0.208
ts489_5 31.678 0.457 23.354  41.904    0.557   0.556      0.0         0.561       210.03 1.600000e-07 36.99     0.214
ts494_1 31.869 0.497 22.375  31.259    0.716   0.781     -1.0         0.695         2.09 7.800000e-09 34.75     0.254
ts494_2 32.041 0.498 22.373  31.795    0.704   0.732     -1.0         0.695         1.31 7.750000e-09 33.24     0.254
ts494_3 31.933 0.496 22.364  32.151    0.696   0.732     -1.0         0.684         4.18 7.530000e-09 34.41     0.255
ts494_4 31.924 0.497 22.368  31.776    0.704   0.751     -1.0         0.689         3.14 7.620000e-09 34.41     0.255
ts494_5 32.455 0.487 26.476  43.710    0.606   0.620     -1.0         0.603         2.87 3.680000e-04 32.81     0.281
2026-03-30 21:48:53,470 - INFO - Total models with gGSP: 136
2026-03-30 21:48:53,470 - INFO - Metric lDDT: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric RMSD: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric DI_all: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric INF_all: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric INF_wc: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric INF_nwc: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric INF_stacking: available for 136/136 models
2026-03-30 21:48:53,470 - INFO - Metric Clash_Score: available for 136/136 models
2026-03-30 21:48:53,471 - INFO - Metric P-value: available for 136/136 models
2026-03-30 21:48:53,471 - INFO - Metric mcq: available for 136/136 models
2026-03-30 21:48:53,471 - INFO - Metric TM-score: available for 136/136 models
2026-03-30 21:48:53,478 - INFO - Clash_Score: Pearson=-0.032, Spearman=-0.071, Kendall=-0.051 (n=136)
2026-03-30 21:48:53,480 - INFO - DI_all: Pearson=0.629, Spearman=0.674, Kendall=0.491 (n=136)
2026-03-30 21:48:53,482 - INFO - INF_all: Pearson=0.785, Spearman=0.682, Kendall=0.505 (n=136)
2026-03-30 21:48:53,484 - INFO - INF_nwc: Pearson=-0.215, Spearman=-0.268, Kendall=-0.220 (n=136)
2026-03-30 21:48:53,485 - INFO - INF_stacking: Pearson=0.745, Spearman=0.614, Kendall=0.451 (n=136)
2026-03-30 21:48:53,488 - INFO - INF_wc: Pearson=0.724, Spearman=0.554, Kendall=0.407 (n=136)
2026-03-30 21:48:53,490 - INFO - mcq: Pearson=0.161, Spearman=0.116, Kendall=0.086 (n=136)
2026-03-30 21:48:53,491 - INFO - P-value: Pearson=0.204, Spearman=0.444, Kendall=0.302 (n=136)
2026-03-30 21:48:53,495 - INFO - RMSD: Pearson=0.412, Spearman=0.445, Kendall=0.303 (n=136)
2026-03-30 21:48:53,496 - INFO - TM-score: Pearson=0.727, Spearman=0.602, Kendall=0.439 (n=136)
2026-03-30 21:48:53,499 - INFO - lDDT: Pearson=0.764, Spearman=0.824, Kendall=0.633 (n=136)
2026-03-30 21:48:53,501 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\CR1189_gGSP_correlations.csv
2026-03-30 21:48:53,501 - INFO - Processing target: CR1190
2026-03-30 21:48:53,607 - INFO - 
--- Detailed data for target: CR1190 ---
2026-03-30 21:48:53,623 - INFO - 
  Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
ts029_1  8.467 0.310 29.009  98.568    0.294   0.139   0.1826         0.357         0.00 2.450000e-02 44.08     0.260
ts029_2 10.207 0.341 30.140  87.369    0.345   0.000   0.0000         0.454        19.85 9.000000e-02 39.98     0.209
ts029_3  7.385 0.309 29.534  78.057    0.378   0.042   0.0000         0.504         8.62 4.670000e-02 36.12     0.216
ts035_1 29.500 0.531 27.927  40.768    0.685   0.820   0.0000         0.638         9.40 5.080000e-03 30.05     0.264
ts035_2 29.500 0.531 27.927  40.768    0.685   0.820   0.0000         0.638        10.19 5.080000e-03 30.05     0.264
ts035_3 29.500 0.531 27.927  40.768    0.685   0.820   0.0000         0.638         9.66 5.080000e-03 30.05     0.264
ts035_4 24.283 0.433 27.182  50.640    0.537   0.388   0.0000         0.612        12.54 1.420000e-03 30.15     0.274
ts035_5 30.466 0.533 25.092  36.367    0.690   0.767   0.0000         0.657        11.23 1.700000e-05 29.98     0.254
ts054_1 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts054_2 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts054_3 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts054_4 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts054_5 29.300 0.526 29.488  43.450    0.679   0.844   0.0000         0.616         6.27 4.430000e-02 29.32     0.225
ts076_1 26.515 0.496 27.562  44.160    0.624   0.625   0.0000         0.632         3.13 2.780000e-03 29.84     0.265
ts076_2 25.845 0.481 27.501  43.917    0.626   0.641   0.2357         0.626         3.13 2.500000e-03 30.21     0.249
ts076_3 26.620 0.479 29.837  47.485    0.628   0.617   0.0000         0.634         2.87 6.560000e-02 34.56     0.256
ts076_4 24.824 0.479 27.318  44.068    0.620   0.641   0.0000         0.613         7.32 1.820000e-03 32.65     0.242
ts076_5 32.973 0.518 26.440  39.416    0.671   0.808   0.0000         0.620         2.35 3.420000e-04 31.18     0.257
ts081_1 37.085 0.540 23.811  33.583    0.709   0.889   0.3333         0.619         5.75 5.950000e-07 33.96     0.248
ts081_2 39.287 0.536 23.542  33.707    0.698   0.889   0.3333         0.603         5.22 2.770000e-07 34.81     0.259
ts081_3 37.154 0.538 22.432  30.839    0.727   0.889   0.3333         0.645         6.01 9.370000e-09 34.15     0.307
ts081_4 38.649 0.543 25.509  35.787    0.713   0.889   0.3333         0.624         7.05 4.550000e-05 33.81     0.237
ts081_5 36.513 0.546 23.672  32.189    0.735   0.889   0.2887         0.657         7.05 4.030000e-07 36.90     0.270
ts097_1 18.395 0.352 29.597  73.598    0.402   0.548   0.0000         0.342         0.26 5.030000e-02 43.75     0.165
ts119_1 26.452 0.499 20.684  31.826    0.650   0.648   0.0000         0.662         0.52 2.140000e-11 31.65     0.245
ts119_2 25.279 0.488 23.635  39.365    0.600   0.610   0.0000         0.601         1.04 3.620000e-07 32.84     0.226
ts119_3 37.072 0.531 27.150  41.292    0.658   0.672   0.0000         0.662         1.57 1.340000e-03 30.95     0.247
ts119_4 32.658 0.513 27.381  41.412    0.661   0.653  -1.0000         0.672         2.87 2.030000e-03 30.86     0.249
ts119_5 38.734 0.533 20.900  31.965    0.654   0.696  -1.0000         0.651         1.83 4.760000e-11 31.27     0.246
ts125_1 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts125_2 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts125_3 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts125_4 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts125_5 24.555 0.510 29.473  44.668    0.660   0.768   0.0000         0.616         4.96 4.350000e-02 31.21     0.226
ts131_1 33.146 0.515 24.840  35.499    0.700   0.677   0.0000         0.714         2.61 9.120000e-06 31.28     0.211
ts131_2 34.096 0.530 26.981  39.106    0.690   0.700  -1.0000         0.692         2.35 9.820000e-04 26.69     0.264
ts131_3 35.277 0.529 26.074  38.635    0.675   0.742  -1.0000         0.657         2.09 1.590000e-04 31.12     0.264
ts131_4 35.793 0.535 27.547  42.202    0.653   0.653   0.0000         0.662         2.87 2.710000e-03 26.61     0.232
ts131_5 35.070 0.530 22.297  32.458    0.687   0.720  -1.0000         0.682         2.09 6.060000e-09 30.91     0.271
ts147_1 25.510 0.427 29.132  55.807    0.522   0.651   0.0000         0.477         0.26 2.870000e-02 36.23     0.236
ts147_2 26.880 0.451 22.057  36.801    0.599   0.645   0.0000         0.581         0.78 2.750000e-09 38.22     0.214
ts147_4 32.469 0.498 20.778  32.132    0.647   0.739   0.0000         0.609         0.26 3.040000e-11 36.43     0.271
ts147_5 29.847 0.442 23.052  41.891    0.550   0.647   0.0000         0.519         0.26 6.500000e-08 40.87     0.239
ts177_1 16.339 0.444 24.913  44.306    0.562   0.516   0.0000         0.592       265.22 1.090000e-05 34.33     0.234
ts177_2 13.987 0.407 28.711  64.326    0.446   0.345   0.0000         0.503       290.45 1.640000e-02 33.79     0.137
ts177_3 18.117 0.446 24.798  45.030    0.551   0.534   0.0000         0.571       277.47 8.210000e-06 37.20     0.232
ts185_1 28.444 0.482 26.504  40.398    0.656   0.804  -1.0000         0.602         0.00 3.880000e-04 32.21     0.241
ts185_2 27.520 0.472 27.051  45.648    0.593   0.766  -1.0000         0.530         0.00 1.120000e-03 31.67     0.204
ts185_3 26.036 0.467 23.935  37.946    0.631   0.745   0.0000         0.591         0.00 8.430000e-07 32.04     0.195
ts185_4 25.015 0.479 22.245  33.176    0.671   0.784   0.0000         0.632         0.00 5.110000e-09 31.66     0.222
ts185_5 25.827 0.482 32.182  49.303    0.653   0.803  -1.0000         0.600         0.00 4.180000e-01 31.08     0.192
ts227_1 25.360 0.410 29.801  57.216    0.521   0.599   0.0000         0.493         0.52 6.310000e-02 42.18     0.231
ts227_2 27.331 0.456 20.100  36.279    0.554   0.588   0.0000         0.553         0.00 2.280000e-12 40.16     0.261
ts227_3 30.052 0.471 22.828  35.034    0.652   0.742   0.0000         0.613         0.00 3.270000e-08 37.47     0.236
ts227_4 30.859 0.477 32.726  54.139    0.604   0.623   0.0000         0.603         0.52 5.380000e-01 36.50     0.241
ts229_1 30.151 0.532 22.577  33.952    0.665   0.815   0.0000         0.613         3.66 1.490000e-08 32.18     0.237
